"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B14001_001E","Estimate!!Total:"
"B14001_001EA","Annotation of Estimate!!Total:"
"B14001_001M","Margin of Error!!Total:"
"B14001_001MA","Annotation of Margin of Error!!Total:"
"B14001_002E","Estimate!!Total:!!Enrolled in school:"
"B14001_002M","Margin of Error!!Total:!!Enrolled in school:"
"B14001_002MA","Annotation of Margin of Error!!Total:!!Enrolled in school:"
"B14001_002EA","Annotation of Estimate!!Total:!!Enrolled in school:"
"B14001_003E","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"B14001_003M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"B14001_003MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"B14001_003EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool"
"B14001_004E","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"B14001_004M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"B14001_004MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"B14001_004EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten"
"B14001_005E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4"
"B14001_005EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4"
"B14001_005M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4"
"B14001_005MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4"
"B14001_006E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8"
"B14001_006M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8"
"B14001_006MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8"
"B14001_006EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5 to grade 8"
"B14001_007E","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12"
"B14001_007M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12"
"B14001_007MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12"
"B14001_007EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12"
"B14001_008E","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"B14001_008EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"B14001_008M","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"B14001_008MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years"
"B14001_009E","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school"
"B14001_009M","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school"
"B14001_009MA","Annotation of Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school"
"B14001_009EA","Annotation of Estimate!!Total:!!Enrolled in school:!!Graduate or professional school"
"B14001_010E","Estimate!!Total:!!Not enrolled in school"
"B14001_010M","Margin of Error!!Total:!!Not enrolled in school"
"B14001_010MA","Annotation of Margin of Error!!Total:!!Not enrolled in school"
"B14001_010EA","Annotation of Estimate!!Total:!!Not enrolled in school"
