State,Measure Names,Year,Measure Values
Alabama,Electric,2021,680
Alaska,Electric,2021,94
Arizona,Electric,2021,2257
Arkansas,Electric,2021,453
California,Electric,2021,41225
Colorado,Electric,2021,3978
Connecticut,Electric,2021,1430
Delaware,Electric,2021,314
District of Columbia,Electric,2021,822
Florida,Electric,2021,6723
Georgia,Electric,2021,3939
Hawaii,Electric,2021,833
Idaho,Electric,2021,345
Illinois,Electric,2021,2756
Indiana,Electric,2021,948
Iowa,Electric,2021,582
Kansas,Electric,2021,1017
Kentucky,Electric,2021,527
Louisiana,Electric,2021,385
Maine,Electric,2021,629
Maryland,Electric,2021,3416
Massachusetts,Electric,2021,4871
Michigan,Electric,2021,1833
Minnesota,Electric,2021,1390
Mississippi,Electric,2021,433
Missouri,Electric,2021,2200
Montana,Electric,2021,212
Nebraska,Electric,2021,377
Nevada,Electric,2021,1353
New Hampshire,Electric,2021,351
New Jersey,Electric,2021,2008
New Mexico,Electric,2021,457
New York,Electric,2021,7621
North Carolina,Electric,2021,2784
North Dakota,Electric,2021,139
Ohio,Electric,2021,2203
Oklahoma,Electric,2021,1088
Oregon,Electric,2021,2439
Pennsylvania,Electric,2021,2665
Rhode Island,Electric,2021,628
South Carolina,Electric,2021,862
South Dakota,Electric,2021,156
Tennessee,Electric,2021,1647
Texas,Electric,2021,5486
Utah,Electric,2021,1978
Vermont,Electric,2021,871
Virginia,Electric,2021,3301
Washington,Electric,2021,4328
West Virginia,Electric,2021,307
Wisconsin,Electric,2021,949
Wyoming,Electric,2021,184
